Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
확대와 축소,"[여자/14]
---
시험 점수가 망했어.  내 성적표를 보니  나는 쓸모없는 존재 같아.  친구들은 다 잘하는데 나만…  글쓰는 건 좋아하지만,  소설가는 꿈도 못 꿀 거 같아.  아무것도 잘하는 게 없어.  나는 왜 이렇게 못났을까?
",GEMINI,2,2,2,2,3,3
'해야 한다' 진술,"[남자/14]
---
아침 8시, 엄마의 잔소리에 깨어났다.  해야 할 일은 산더미인데, 핸드폰만 만지작거리고 있다.  친구들은 이미 공부 시작했을 텐데… 나는 왜 이럴까?  내일도 후회하겠지.  망했다.  다 늦었다.
",GEMINI,2,2,3,3,3,3
흑백 사고,"[남자/17]
---
친구들이 농구 시합 후 웃으며 이야기하는데, 나만 벤치에 앉아 있었다.  잘하는 게 하나도 없으니,  저들처럼 즐겁게 웃을 수가 없다.  나는 아무것도 못하는 쓸모없는 사람이다.  그냥,  집에 가고 싶다.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[남자/17]
---
수업 중 선생님의 농담에 웃지 않았더니, 나를 싫어하는 건가 봐.  내가 재미없는 사람이라고 생각하는 걸까?  분명히 그럴 거야.  다른 애들은 다 웃었는데 나만 안 웃었으니까.  결국 나 혼자만 왕따가 되는 거겠지.
",GEMINI,2,3,3,2,2,3
과잉 일반화,"[여자/15세]
---
점심시간, 혼자 도시락 먹는데 걔네 웃는 소리가 들렸어.  또 나 빼고 얘기하는 거 같아.  아무도 나랑 말 안 걸고, 늘 혼자인 기분이야.  다시는 다가가지 말아야지.  내가 뭘 잘못했는지 모르겠어.  모든 친구들이 날 싫어하는 것 같아.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/14세]
---
어제,  걔가 갑자기 연락을 안 해.  분명 내가 잘못한 건 없는데,  내가 싫어진 건가 봐.  항상 이렇게 멀어지잖아.  다시는 연락 안 할까 봐 무서워.  내가 부족해서 그런 거겠지.  솔직히,  나 혼자만 좋아하는 거 같아.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[남자/17]
---
배가 또 아파.  화장실에서 웅크리고 앉아있는데,  다들 내가 꾀병 부리는 줄 알겠지.  수업시간에 헛구역질하는 모습 보였으니까.  분명 쟤 또 왔네, 하는 시선 느껴질 거야.  다시는 학교에 못 갈 것 같아.  내가 너무 약한 걸까.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/14세]
---
내일 발표인데, 아무도 내 발표를 듣지 않을 것 같아. 준비를 열심히 했는데, 발표 내용이 재미없어서 다들 딴짓할 거야.  결국 망칠 거고, 모두 나를 무시할 거라고 확신해.  혼자 남겨질 것 같아 무서워.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/14]
---
친구가 내 비밀을 다른 애한테 말했어.  화가 나서 울었어.  내가 뭘 잘못했는지 모르겠어.  아무도 날 이해 못할 거야. 친구도 날 싫어하는 것 같아.  다 내 잘못인가 봐.  혼자 남겨지는 것 같아 너무 무서워.
",GEMINI,3,3,2,3,3,3
확대와 축소,"[여자/17]
---
수학 시험 점수가 망했어. 겨우 50점.  전부 망친 거 같아.  다음 시험도 망칠 거 같고,  앞으로 내 인생도 망한 거 아닐까?  내가 열심히 안 한 탓이겠지.  결국 난 아무것도 안 될 거야.
",GEMINI,2,2,2,2,3,3
성급한 판단,"[여자/16세]
---
집을 나가면 일자리도, 친구도 못 구할 거 같아.  아르바이트 구하기 어려울 거고,  같은 또래 친구 사귀는 것도 힘들 거야.  결국 혼자 남을 거라는 생각에 무서워.  백퍼 그럴 거야.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/15]
---
점심시간, 소희가 나 혼자 앉아 있는 모습을 보고도 다른 친구들과 수다를 떨었다.  평소처럼 먼저 다가오지 않았다.  내가 뭘 잘못했나?  소희는 나랑 더 이상 친구하고 싶지 않은 걸까?  내가 싫어진 걸까?  괜히 혼자 밥 먹는 게 더 서럽다.
",GEMINI,3,3,3,3,3,3
'해야 한다' 진술,"[여자/16세]
---
시험 결과를 봐야 해.  망치면 안 돼.  엄마한테 혼날까 봐 두려워.  모두가 실망할 거야.  숨길 수 없어.  눈물이 날 것 같아.  절대 울면 안 돼.  평소처럼 행동해야 해.  괜찮은 척 해야만 해.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/15]
---
점심시간에 샌드위치를 싸왔는데, 아무도 안 먹겠다고 해서 혼자 다 먹었다.  내가 먼저 나눠주지 않았으니, 나랑 안 친하다는 건가?  다른 애들은 서로 나눠 먹던데… 역시 난 인기 없어.  내가 뭘 잘못한 걸까?
",GEMINI,2,3,3,2,2,3
부정적 편향,"[여자/16세]
---
걔는 나랑 눈도 안 마주쳐.  항상 다른 친구들과 웃고 떠드는데, 나만 빼고.  내가 뭘 잘못했는지 모르겠어.  아무리 노력해도 소용없어.  결국엔 나 혼자 남을 거야.  다시는 좋아하는 사람이 생기지 않을 거 같아.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[여자/13]
---
새 학기 첫날, 내 자리 주변 애들은 다 서로 아는 사이 같았다.  점심시간에도 혼자 도시락 먹었는데,  내가 늦게 와서 자리가 없었던 건 아닐까?  아무도 나랑 말 안 걸었으니까, 분명 나 싫어하는 거야.  중학교 가면 더 심해지겠지.
",GEMINI,3,3,3,3,3,3
개인화,"[여자/15]
---
어제 친구가 나 빼고 밥 먹었다는 말에, 마음이 무너졌다. 내가 뭘 잘못했나, 자꾸만 되짚어봤다.  다들 나를 싫어하는 걸까?  혼자 남겨진 기분에 눈물이 났다. 내 잘못인가 싶어 괴롭다.  아무도 날 이해하지 못하는 것 같다.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/15]
---
수학 숙제를 겨우 끝냈는데, 쌤이 틀린 문제를 찾아내셨다.  다른 애들은 다 맞았을 거야. 아마 내가 제일 못했을 거고,  쌤은 나만 틀렸다고 생각할 거다.  결국, 난 늘 꼴찌일 거야.
",GEMINI,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
시험 결과가 나왔다.  잘 본 과목은 하나도 없고, 다 망쳤다.  친구들은 다 잘 봤다는데, 나는 혼자 낙제할 것 같다.  앞으로 어떻게 해야 할지 모르겠다.  다 끝장인 것 같다.
",GEMINI,2,3,3,2,3,3
성급한 판단,"[남자/17세]
---
핸드폰이 또 고장 났다.  발표 준비는 다 끝났는데,  프레젠테이션 자료를 보낼 수가 없다. 선생님이 엄청 화내시겠지. 아무도 나랑 짝짜꿍 안 해줄 거고, 혼자서 다 해야 할 거야.  망했어.
",GEMINI,2,3,2,2,3,3
'해야 한다' 진술,"[남자/15]
---
내신, 수능… 다 뭐지?  결국 돈과 명예를 위해서만 공부해야 해?  대학 가서도 계속 공부하고 취업해야 한다니, 숨 막혀.  내가 원하는 삶은 따로 있는데…  왜 이 길밖에 없다는 거야?
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[남자/14]
---
중학교를 중퇴하고 검정고시를 준비하는데, 아무것도 손에 잡히지 않는다.  친구들은 다 학교에 가서 공부할텐데, 나는 벌써 뒤쳐졌다.  이대로라면 난 아무것도 할 수 없을 거야.  다 실패할 거 같아.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[여자/14]
---
전교 10등 안에 못 들면 좋은 대학 못 간다는 엄마 말씀이 귓가에 맴돈다.  85점이면 뭐, 망한 거나 마찬가지지.  친구들은 놀러 가는데 난…  전국 연합 학력 평가 성적 때문에 불안해 죽겠어.  결국, 나는 실패할 거야.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/16세]
---
엄마는 또 내가 원하는 대학을 무시하고 간호학과만 강요해.  내 꿈은 패션 디자이너인데.  내 말을 듣지 않으니 포기해야 할 것 같아.  아무도 날 이해하지 못해.  결국 실패할 거야.
",GEMINI,3,3,2,2,2,3
감정적 추론,"[여자/17]
---
수업 중 발표에서 또 말이 꼬였다.  단어가 생각나지 않아 얼굴이 화끈거렸다.  내가 멍청해서 그런 거야.  다들 내 헛소리를 듣고 비웃겠지.  결국, 아무 말도 못하고 넘어갔다.  망했다.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/15세]
---
어제 발표에서 실수 하나 했을 뿐인데, 모두 내 능력을 의심하는 것 같아.  친구들도 나를 피하는 것 같고,  다시는 친구들과 편하게 지낼 수 없을 것 같아.  내가 완전히 망친 거야.  모두 나를 싫어하게 됐어.
",GEMINI,2,3,2,2,3,3
부정적 편향,"[여자/14]
---
전학 첫날, 짧은 머리 때문에 또 남자로 오해받았다.  내가 뭘 잘못했기에 다들 날 그렇게 보는 걸까.  친구가 되어 줄 사람은 아무도 없을 것 같아.  분명 나 혼자만 괴로운 거겠지.  다들 행복해 보이는데, 나만 외톨이야.
",GEMINI,2,2,2,2,3,3
흑백 사고,"[여자/15]
---
시험 성적표를 받았다.  또 백등이다.  네일아트는 잘한다지만,  그것만으론 먹고 살 수 없잖아.  승무원?  키도 작고, 영어도 부족해.  아무것도 잘하는 게 없어.  인문계?  실업계?  어느 쪽도 답이 아닌 것 같아.  결국, 나는 실패할 거야.
",GEMINI,2,3,2,3,3,3
흑백 사고,"[여자/16세]
---
방과 후, 친구들이 웃으며 수다 떠는 모습을 보니 괜히 쓸쓸해졌다.  나는 아무것도 잘하는 게 없고, 친구들처럼 꿈도 없다.  그냥 학교만 다니고, 집에만 가는 무의미한 하루하루가 너무 싫다.  내가 원하는 게 뭘까?  아무것도 떠오르지 않는다.  모든 게 막막하다.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/17세]
---
친구가 내 이야기를 듣지 않고 웃었어. 분명 내가 잘못한 건 없는데,  다들 나를 무시하는 것 같아.  아마 내가 싫어서 그럴 거야.  다시는 말 걸지 말아야지. 친구 없이 혼자 남는 게 낫겠어.  모두 나를 싫어할 거야.
",GEMINI,2,3,2,2,2,3
확대와 축소,"[남자/18]
---
수능이 끝났지만, 친구들이랑 놀러가는 것도 두렵다.  예전엔 괜찮았는데,  요즘은 누구랑도 제대로 말 못하겠어.  내일 약속도 취소해야 하나…. 아무도 날 좋아하지 않을 거야.  모두 나를 싫어할 거 같아.
",GEMINI,2,3,3,2,3,3
흑백 사고,"[여자/14]
---
내가 좋아하는 애가 다른 애랑 웃는 걸 봤어.  절대 나랑은 안 사귈 거야.  걔는 예쁘고 인기 많으니까.  친구가 걔 좋아한다는 것도 짜증나.  모든 게 다 망한 거 같아.  아무것도 안 될 거야.
",GEMINI,3,3,2,2,3,3
성급한 판단,"[여자/14]
---
어제 수업 중에 민지가 나랑 눈도 안 마주치고, 혼잣말로 뭔가 중얼거렸어.  평소랑 달라. 분명 나 싫어하는 거야.  점심시간에 혼자 먹었고,  내가 옆에 앉으려 하니까 자리를 피했어.  내가 뭘 잘못했지?  친구들이랑 얘기하는 것도 나 빼고 하는 것 같고….  다 내 탓인가 봐.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/16세]
---
수업 중, 선생님이 내 쪽을 쳐다보셨다.  내가 딴짓을 했나?  혹시 내가 싫어서 그런 걸까?  평소에도 나를 싫어하는 것 같았다.  다른 애들은 칭찬받는데, 나는 늘 혼나니까.  분명 나 때문일 거야.  내가 잘못해서 그런 거겠지.
",GEMINI,2,3,2,2,2,3
과잉 일반화,"[여자/14]
---
시험을 망쳤다.  모든 시험을 망칠 거야.  친구들은 다 잘하는데 나만 못하니, 아무것도 잘하는 게 없어.  미술학원도 그만둬야겠어.  나처럼 그림도 못 그리는 애가 뭘 한다고…  결국 아무것도 할 수 없어.
",GEMINI,2,3,2,3,3,3
흑백 사고,"[여자/16세]
---
친구 수지가 시험 답을 봤다고 했어.  선생님께 솔직히 말했더니, 둘 다 0점.  엄마는 실망하셨고, 아빠는 더 화내실 거야.  내 잘못이 전부고, 절망적이야.  앞으로 어떻게 해야 할지 모르겠어.  모든 게 끝난 것 같아.
",GEMINI,2,3,2,3,3,3
과잉 일반화,"[여자/16세]
---
엄마 말대로 난 늘 부족해.  키도 작고, 성격도 까칠하고.  오늘도 시험 망쳤어.  모든 게 다 내 잘못이야.  다른 애들은 잘하는데, 난 항상 뒤처져.  결국 난 늘 실패할 거야.  다 엄마 탓이야.  내 모든 문제는 엄마 때문이야.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/18]
---
점심시간, 혼자 급식을 먹었다.  빈 급식판을 보니 엄마 생각이 났다.  내가 밥을 안 먹으면 돈을 아낄 수 있을 텐데.  내 존재가 가족에게 짐인 것 같다.  숨 막히는 기분에 괴로워졌다.  죽고 싶다는 생각이 다시 스쳐 지나갔다.
",GEMINI,3,3,2,3,3,3
'해야 한다' 진술,"[여자/16세]
---
시험 성적표를 받았다. 80점.  '잘해야 한다'는 생각에 밤새 공부했는데…  만점을 받아야 했는데…  내 성적은 항상 부족해.  다시 공부해야 해.  이번엔 꼭 만점을 받아야 해.  안 그러면 후회할 거야.
",GEMINI,2,2,2,2,3,3
확대와 축소,"[여자/14]
---
친구들이 웃으며 수다 떠는 모습이 싫다.  나만 빼고 다 친한 것 같아.  내가 뭘 잘못했나,  아무도 날 좋아하지 않는 걸까?  결국 혼자인 거고,  앞으로도 쭉 혼자일 거야.  숨 막혀.
",GEMINI,2,2,2,2,3,3
확대와 축소,"[남자/17세]
---
어제 그 애 닮았다는 말에 잠 못 이뤘다.  내 얼굴이 망친 것 같아.  전에 날 좋아했던 애도 그 애랑 닮았다고 했으니,  내가 그 애 닮은 게 전부인 것 같다. 여자친구는 어떻게 사귈까.  모든 게 다 망한 것 같아.  숨고 싶어.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/14]
---
수업 후, 소현이랑 지수가 먼저 나가 버렸어.  나랑 얘기하다가 갑자기 둘이 속삭이며 웃더니,  내 쪽은 쳐다보지도 않고 사라졌어.  분명 나 빼고 뭔가 계획한 거야.  내가 뭘 잘못했을까?  다시는 날 찾지 않을 것 같아.  친구 잃은 기분이야.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/14]
---
크리스마스 선물로 받은 목걸이, 친구 승아가 똑같은 걸 하고 있었다.  내가 먼저 샀는데… 분명 내가 더 예쁘게 했는데…  승아가 나를 따라 한 걸까?  내 선물이 특별하지 않다는 건가?  내가 뭘 잘못했나?  짜증나.  아무도 날 좋아하지 않는 것 같아.
",GEMINI,2,2,2,2,3,3
과잉 일반화,"[남자/18]
---
고2, 또 혼자 점심 먹는다.  아무도 나랑 밥 안 먹어.  다들 나 싫어하는 거야.  예전처럼 친했던 애들도 날 피하는 것 같고.  내가 뭘 잘못한 걸까?  모두 나를 멀리하는 것 같아.  점점 더 외로워진다.  숨 막힌다.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[남자/15세]
---
점심시간, 인기 많은 승민이 옆에 앉으니 애들이 나를 쳐다본다.  내가 걔랑 친해지면 다른 애들은 나랑 안 놀겠지.  내가 혼자 남으면 어쩌지?  승민이랑 안 친해지는 게 나을까?  아니면…  결국 혼자가 되는 건 똑같을 거야.
",GEMINI,2,2,3,3,3,3
성급한 판단,"[남자/17]
---
짝사랑하는 여자애가 내 쪽을 쳐다보지도 않아.  분명 나 싫어하는 거야.  아무리 노력해도 소용없겠지.  다른 애들이랑 웃고 떠드는 모습 보니 더 힘들어.  결국 혼자 남는 거겠지.
",GEMINI,2,3,2,2,2,3
감정적 추론,"[여자/15세]
---
친구들이 내 옷 보고 또 놀렸어.  촌스럽다고.  마음이 너무 아팠어.  내가 뭘 잘못했지?  다시는 친구들 만나고 싶지 않아.  아무도 날 이해 못 해.  나 혼자 남겨질 것 같아.  죽고 싶어.
",GEMINI,3,3,2,3,3,3
낙인찍기,"[여자/15세]
---
수현이랑 지수가 웃으며 이야기하는 모습이 눈에 들어왔다.  또 나만 빼고 둘이서만 친하게 지내는 거 같아.  내가 끼어들 자리가 없어 보였다.  분명 나를 싫어하는 거야.  다시는 둘에게 다가가지 않아야지.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[남자/17세]
---
시험 망쳤어. 몇 문제 틀렸는지도 모르겠어. 아마 낙제겠지.  다 끝났어.  내 인생 망한 거야.  대학은 당연히 못 가고,  앞으로 아무것도 할 수 없을 거야.  다 내 잘못이야.
",GEMINI,2,2,2,2,2,3
과잉 일반화,"[여자/14]
---
발표 준비를 며칠째 하고 있는데, 자꾸 실수할 것 같아요.  발표 연습 때마다 긴장해서 말이 꼬이고, 망칠 것 같다는 생각뿐이에요.  결국엔 모두에게 웃음거리가 될 거고, 친구들은 저를 비웃을 거예요. 아무도 저를 좋아하지 않을 거예요.  다 망했어요.
",GEMINI,2,3,2,2,3,3
'해야 한다' 진술,"[여자/14]
---
방과 후, 학원 숙제는 산더미인데 핸드폰만 만지작거린다.  내일 시험인데, 공부는 커녕 잠도 제대로 못 잤다.  엄마한테 혼날 게 뻔하다.  나는 꼭 이렇게 망쳐야만 하는 걸까?  잘해야만 한다는 압박감에 짓눌린다.
",GEMINI,2,3,3,2,3,3
감정적 추론,"[남자/18세]
---
점심시간, 혼자 도시락 먹는데 옆 테이블 친구들이 웃고 있었다.  나랑 눈이 마주치자 갑자기 조용해졌다.  내가 뭔가 이상한 짓을 한 건가?  분명 걔네는 나랑 얘기하기 싫어하는 거다.  다시는 밥 같이 안 먹어야지.
",GEMINI,2,3,3,2,3,3
감정적 추론,"[여자/15세]
---
숙제를 다 못 끝냈어. 선생님께 혼날까 봐 걱정돼.  내일 제출인데,  엄마한테도 혼나겠지.  설마 숙제 안 했다고 학교에서 전화 오는 건 아니겠지?  벌써부터 심장이 쿵쾅거려.  아마 엄마한테 혼나는 소리가 들릴 것 같아.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[남자/16세]
---
어제 잠깐 게임 채팅창에서 금지 단어를 썼어.  바로 삭제했지만, 계정 정지될까 봐 너무 불안해.  내가 잘못한 거니까 벌 받을 만하지만, 게임 못 하면 너무 힘들어.  아마 영구 정지될 거야.
",GEMINI,2,3,3,2,3,3
과잉 일반화,"[여자/14]
---
중학교 친구들과 멀어진 후, 새 학교에선 아무도 나랑 안 놀아줄 것 같아.  예전처럼 또 나 혼자 겉돌겠지.  웃고 착하다고 해도 소용없어.  친구 사귀는 건 늘 어려워.  이번에도 실패할 거야.  새로운 시작이지만, 똑같은 결과일 거라고 확신해.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/17세]
---
내 꿈인 의사가 되는 건 너무 어려울 것 같아.  열심히 해도 경쟁이 치열하다는데,  결국 실패할까봐 두려워.  미래를 생각하면 숨이 막히고 우울해져.  그냥 포기하는 게 나을까?  나는 안 될 거야.
",GEMINI,3,3,2,3,3,3
확대와 축소,"[여자/16세]
---
시험 점수가 몇 점 낮았다고, 엄마는 내가 아무것도 안 한다고 화를 냈다.  내 잘못이 커서 엄마 아빠가 싸우는 것 같다.  단순한 실수인데,  내 인생 망한 것 같다.  미안하다는 말도 제대로 못 해.
",GEMINI,3,3,2,2,3,2
'해야 한다' 진술,"[남자/15]
---
새 학년이 코앞인데,  친구들이랑 멀어질까 봐 불안해.  내가 먼저 다가가야 하는데,  괜히 실수할까 봐 망설여져.  다른 친구들은 이미 새 학년 친구들과 친해졌을 텐데,  나만 혼자 남을까 봐 두려워.  어떻게든 해야만 해.
",GEMINI,3,3,3,3,3,3
확대와 축소,"[여자/17]
---
중간고사 성적표를 받았다.  한 문제 때문에 1등급이 아깝게 날아갔다.  서울대는 이제 꿈도 못 꿀 거야.  결국, 지방대 갈 운명인가.  앞으로 모든 게 망칠 것 같아.  숨 막혀.
",GEMINI,3,3,2,2,3,3
과잉 일반화,"[남자/17세]
---
또 혼자 점심 먹었다.  다들 웃으며 삼삼오오 모여 밥 먹는데, 나만 빼고.  내가 뭘 잘못했는지 모르겠다.  아무도 나랑 밥 안 먹으려고 하는 걸까?  다 똑같아.  나 싫어하는 거지.  결국 난 늘 혼자야.
",GEMINI,2,2,3,3,3,3
긍정 축소화,"[여자/17세]
---
수학 경시대회에서 2등을 했지만, 1등이 아니라는 사실만 머릿속에 남았다.  상장을 받았지만, 1등이 아니면 의미가 없다는 생각에 기쁨을 느낄 수 없었다.  내 재능은 부족한 것 같다.  더 노력해도 1등은 어려울 것이다.
",GEMINI,2,3,2,2,2,3
확대와 축소,"[여자/16세]
---
친구들이랑 웃으며 얘기했던 기억이 떠올라.  하지만 지금은 모두 나를 싫어하는 것 같아.  소외감에 휩싸여 혼자 방에 틀어박혔어.  예전엔 내가 뭘 잘못했는지 몰랐는데, 이젠 다 내 탓인 것 같아.  모두 나 때문에 떠난 거야.  숨 막혀.
",GEMINI,2,3,2,3,3,3
과잉 일반화,"[남자/17세]
---
수업 중 여자애 둘이 웃는 모습을 보고 또 시작이네, 저 둘은 내가 뭘 해도 비웃을 거야.  분명 나만 싫어하는 거지.  다른 애들이랑 웃는 모습은 본 적도 없어. 여자애들은 다 나쁜 거야.
",GEMINI,2,2,2,2,3,2
부정적 편향,"[여자/17]
---
점심시간, 친구들은 웃으며 연애 얘기를 한다.  나는 끼어들지 못하고 혼자 도시락을 먹었다.  예쁘고 공부 잘하는 애들은 다 잘 사는 것 같다.  나는 뭘 해도 안 될 것 같다.  모두 나보다 낫다.  내가 노력해도 소용없다.
",GEMINI,3,3,2,3,3,3
낙인찍기,"[여자/18]
---
스터디 그룹 친구들은 날 처음엔 착하다 했지만, 이젠 다르대.  내 속마음은 아무도 몰라.  항상 겉으로만 웃고 있으니,  진짜 모습은 숨겨진 채.  결국, 또 혼자가 되는 건가.  이번에도 망친 건가.
",GEMINI,2,3,2,2,3,3
성급한 판단,"[남자/14]
---
축구부 친구들이 나를 피하는 것 같았다.  어제 실수로 민준이 발을 밟았는데, 그 이후로 다들 내 옆에 오지 않는다.  내가 뭘 잘못했는지 몰라 불안했다.  아마도 내가 싫어졌을 거야.  괜히 먼저 다가갔다가 또 무시당하면 어쩌지?  결국 혼자 점심을 먹었다.  분명 나 때문일 거야.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/14]
---
선생님이 내 질문에 짧게 답하셨어.  다른 애들은 웃는 이모티콘과 함께 긴 답장을 받던데.  분명 나 싫어하는 거야.  내가 뭘 잘못했을까?  친구들도 나랑 잘 안 놀고….  다 내 탓인가 봐.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[남자/16세]
---
어제 친구 승우가 여자친구랑 손잡고 가는 걸 봤어.  괜히 내가 부족해서 그런 거 같고,  혼자 남겨진 기분이야.  모두 행복해 보이는데 나만 불행한 것 같아.  다시는 친구들 만나고 싶지 않아.  내가 뭘 잘못한 걸까.
",GEMINI,2,3,2,3,3,3
흑백 사고,"[여자/15세]
---
93%... 망했어.  엄마는 특성화고는 절대 안 된대.  인문계?  내 성적으론 불가능해.  친구들은 다 잘하는데 나만…  그냥 아무것도 안 될 거야.  꿈도 포기해야겠지.  난 실패할 운명인가 봐.
",GEMINI,2,3,2,3,3,3
흑백 사고,"[남자/15]
---
새로운 친구가 생겼지만, 걔가 나랑 친해지려는 게 아니라면 어쩌지?  걔가 웃는 모습이 나만 좋아하는 것처럼 느껴졌는데, 사실은 다른 친구들한테도 그러는 걸까?  내가 착각하는 걸까? 아니면 걔는 날 이용하는 걸까?  모든 게 끔찍해.  다시 혼자가 되는 건 아닐까.
",GEMINI,2,2,3,2,2,3
감정적 추론,"[남자/17세]
---
고등학교 생활이 너무 힘들어. 친구들과 어울리지 못하고, 성적도 계속 떨어지니까 자퇴하고 싶어. 게임만 잘하는 내가 무슨 쓸모가 있을까?  프로게이머가 되는 것 말고는 아무것도 할 수 없을 것 같아.  후회할까 봐 무서워.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/17]
---
학원 버스에 탔는데, 모두 나만 쳐다보는 것 같았다.  숨 막히는 시선에 어깨가 움츠러들었다.  분명 나만 빼고 다들 편안해 보였다.  나만 이상한가?  다시는 이 학원에 못 다닐 것 같다.
",GEMINI,2,3,2,3,3,3
과잉 일반화,"[남자/17]
---
시험 성적표를 받았다. 또 최하위권이다.  나는 아무것도 잘하는 게 없다.  결국 낙오자일 뿐이다.  앞으로도 계속 이럴 거다.  희망이 없다.  살고 싶지 않다.
",GEMINI,3,3,2,3,3,2
흑백 사고,"[여자/17]
---
걔랑 얘기하다 걔가 다른 애랑 친한 걸 알게 됐어.  순간, 내가 걔한테 특별한 존재가 아니라는 생각에 짜증이 났어.  걔는 나만 좋아해야 하는데… 아닌가?  아니면 내가 착각하는 걸까?  나는 걔를 좋아하는데, 걔는 아닌 걸까?  다른 애랑 있으면 질투나고, 걔만 바라봐야 하는데…
",GEMINI,2,3,3,3,3,3
성급한 판단,"[남자/18세]
---
수학 모의고사 성적표를 보니 3등급이었다.  망했다.  수의대는 역시 글렀다.  내신도 2점대 후반이고.  아예 포기해야겠다.  열심히 해도 안될 것 같다.  다른 길을 찾아야 하나.
",GEMINI,2,3,2,2,3,3
긍정 축소화,"[남자/18]
---
중간고사 성적이 올랐지만, 친구들의 성적이 더 좋아 보였다.  내 성적 향상은 아무 의미 없어.  수능까지 시간이 얼마 안 남았는데,  내가 대학에 갈 수 있을까?  결국 낙오할 거야.
",GEMINI,2,3,2,2,2,3
개인화,"[여자/14]
---
엄마의 한숨 소리가 방까지 들려온다.  내 성적표 때문일까?  80점대 중반인데, 왜 부족하게 느껴질까.  내 잘못 때문에 가족들이 힘들어하는 것 같아.  다 내 탓이야.  숨 막혀.  나만 없으면 좋을 텐데.
",GEMINI,2,3,3,3,3,3
확대와 축소,"[여자/16]
---
시험 점수가 80점이었어.  반 평균은 훨씬 높았고,  내 친구는 90점 넘었대.  내가 아무리 노력해도 그 애들을 따라잡을 수 없을 것 같아.  다 망한 것 같고, 앞으로도 계속 이럴 것 같아.  내가 뭘 해도 소용없는 것 같아.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/14]
---
친구가 나랑 얘기 안 해.  어제도, 그저께도.  분명 내 잘못이겠지. 아무도 날 좋아하지 않아.  다들 나를 싫어하는 거야.  혼자인 게 당연해.  항상 혼자야.
",GEMINI,2,3,2,2,3,3
낙인찍기,"[남자/14]
---
방과 후, 집에 돌아오는 길.  또 숙제를 안 했다.  나는 늘 이 모양이다.  바보 같고, 게으르고, 엄마 아빠를 실망시켰다.  다른 애들은 다 잘하는데, 나만…  나는 아무것도 안 될 거야.  결국엔 후회할 거라는 걸 알면서도.
",GEMINI,3,3,2,3,3,3
개인화,"[여자/16세]
---
어제 수학 숙제를 틀렸다.  선생님께서 틀린 부분을 설명해주셨는데, 내가 이해 못 한 내 잘못 같다.  다른 애들은 다 잘했을 텐데.  내가 멍청해서 그런 거겠지.  다시는 수학 문제를 풀 수 없을 것 같아.  내 탓이야.  모든 게 다.
",GEMINI,2,2,3,2,3,3
확대와 축소,"[여자/16]
---
169cm인 내 키는 늘 나를 괴롭힌다.  키가 크다는 말은 칭찬이 아니야.  모든 게 다 커 보이고,  남자애들은 다 작은 여자애를 좋아할 거 같아.  나만 빼고 다 행복해 보여.  내 키 때문에 난 늘 불행할 거 같아.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/15]
---
중간고사 성적표를 받았다.  80점대는 하나도 없었다.  모두 70점대 초반.  친구들은 90점대도 많던데… 나는 뭘 해도 안 되는구나.  잘하는 게 하나도 없다.  앞으로도 계속 이럴 거다.  나는 실패할 거야.  결국 아무것도 이룰 수 없겠지.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/16세]
---
옆 반 승민이가 여자친구랑 이백일이래.  복도에서 마주칠 때마다 괜히 눈치만 보게 돼.  내가 뭘 잘못했을까.  내가 싫어서 그런 걸까.  나쁜 애 같아.  나만 혼자 이렇게 힘든가 봐.  다들 행복해 보이는데.
",GEMINI,3,3,3,3,3,3
