Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
감정적 추론,"[여자/15세]
---
학교에서 원래 알던 애들이랑 노는데, 한 친구만 날 멀리하는 것 같아요. 그 애가 왜 날 무시하는지 모르겠어요. 나는 잘못한 게 없는데 이런 식으로 행동하니 너무 불편해요.",CLAUDE,2,3,3,2,3,3
'해야 한다' 진술,"[여자/15세]
---
절친이 갑자기 연락을 끊었어요. 내가 너무 친구에게 의존하고 있었나 봐요. 친구가 나를 싫어하는 게 아닐까, 내가 잘못한 게 있는 건 아닐까 걱정돼요. 친구와 더 가까워져야 한다는 생각에 스트레스받네요.",CLAUDE,3,3,3,2,2,3
흑백 사고,"[여자/16세]
---
친구들이 단톡에 나를 초대하지 않아 외로운 마음이 든다. 놀면서도 나를 무시하고 관심 없어하는 것 같아 기분이 좋지 않다. 혼자 노는 애들이라도 웃으며 말 걸어봤지만 모두 나를 피하는 것 같다.",CLAUDE,3,3,2,2,3,2
감정적 추론,"[남자/고1]
---
우리가 급식을 먹으면서 이야기를 나누기 시작하면, 불안감이 올라옵니다. 나만 주목받는 것 같아 움츠러들게 되고, 다른 친구들의 반응이 걱정됩니다. 말하다 보면 눈을 마주치기 힘들어져 점점 말을 건네기가 어려워집니다.",CLAUDE,3,3,3,3,3,3
개인화,"[여자/16세]
---
다른 친구들이 나에 대해 나쁘게 말했다는 걱정 때문에 친구들이 나를 싫어하게 될까봐 걱정돼. 따로 만나서 이야기해보려고 했지만 무슨 말을 해야 할지 모르겠어. 그냥 모두에게 멀리 떨어져 있는 것이 안전할까?",CLAUDE,2,3,2,2,3,3
성급한 판단,"[여자/16세]
---
학교에서 이상한 시선을 받아요. 내가 입는 옷과 신발이 다르니까 친구들도 날 이해하지 못해요. 수술이 걱정되고 학업에도 지장이 있을 거 같아 걱정돼요. 특수학교를 가고 싶지만 미래가 불확실하네요.",CLAUDE,2,2,3,2,2,2
성급한 판단,"[여자/15세]
---
우리가 점점 멀어졌어. 친구 A와 더 친해진 것 같아. 그래도 A를 좋아했던 마음이 아직 있어서 같이 다니고 싶은데, A가 혹시 나를 싫어할까봐 두렵네. 이제 전 어떻게 해야 할지 모르겠어.",CLAUDE,2,2,3,2,3,2
성급한 판단,"[여자/16세]
---
우리 반에 친한 친구가 없어서 항상 혼자 있어요. 다른 애들은 저를 좋게 보지 않는 것 같아 더 말을 걸기 싫어져요. 이렇게 계속 혼자여야 할지 모르겠어요.",CLAUDE,2,2,3,2,2,3
과잉 일반화,"[여자/17세]
---
원하는 고등학교에 떨어져 새 환경에 적응하기 힘들어해요. 친구를 사귀기 어려워 혼자 고립되는 것 같아 걱정돼요. 체육대회나 미술 수업을 할 때 홀로 있게 될까봐 두렵고 피하고 싶어 해요. 이 상황이 영원히 지속될 것 같아 앞으로도 힘들 것 같아요.",CLAUDE,2,2,3,2,2,2
과잉 일반화,"[여자/17세]
---
새 학년 시작한 지 한 달 지났지만, 나는 여전히 혼자 있다. 친구들은 누구나 잘 어울리는데 나만 소외되어 있다. 아무리 노력해도 내 성격이 변하지 않는다. 앞으로 1년 동안 이렇게 지내야 할 것만 같아 우울하다.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/고1]
---
동아리 활동 도중 친구와 말다툼을 했어. 그 사건이 전교생의 뒷담화로 번져 누구나 나를 비방하는 것 같아. 이후 친구와 다른 일탈을 했다가 모두에게 냉대받는 것 같아. 이제 친구와 관계가 완전히 깨진 것 같아 너무 후회돼.",CLAUDE,2,3,3,2,2,2
과잉 일반화,"[여자/18세]
---
대학 입학을 앞두고 있지만, 여전히 진짜 친구를 찾지 못해 걱정됩니다. 중학교부터 친구가 없었던 저는 앞으로도 친구를 사귈 수 없을 거라고 생각합니다. 혼자 공부하다 보니 우울감에 휩싸이곤 합니다.",CLAUDE,3,3,3,3,3,3
'해야 한다' 진술,"[여자/17세]
---
열심히 공부하지만 친구가 계속 도움을 요구해서 짜증이 납니다. 내가 어떻게든 해결해야 한다고 생각하지만, 친구를 밀어내기가 힘들어요. 결국 내 공부에 방해가 되고 스트레스만 쌓입니다.",CLAUDE,3,3,3,2,3,3
성급한 판단,"[여자/15세]
---
반장이 되었지만 친구들이 나를 따르지 않을 것 같아. 제안해도 그렇게 반응할 게 뻔해. 내가 이렇게 말하면 싫어할 거야. 리더십은 커녕 친구들을 잃을 것 같아 걱정이다.",CLAUDE,3,3,3,3,3,2
과잉 일반화,"[여자/17세]
---
올해 고등학교에 입학했지만, 모두가 서로 친한 친구들끼리만 어울려요. 내 주변에는 친구가 없고, 있는 친구들도 잘 맞지 않아요. 내일이 생일인데 축하받지 못할 것 같아 너무 슬퍼요.",CLAUDE,2,3,3,2,3,3
감정적 추론,"[여자/15세]
---
친구가 화났지만 사과했는데도 변화가 없어. 내가 잘못한 게 아닌데 왜 그 애가 계속 고집을 부리는 걸까? 결국 내가 잘못한 것처럼 여겨지네. 이럴 바에야 그 애와 아예 어울리지 말아야겠어.",CLAUDE,3,3,3,2,3,3
'해야 한다' 진술,"[여자/16세]
---
성적이 기대에 못 미치자 엄마의 잔소리만 듣기 싫어졌어. 도저히 집중이 안 돼서 공부할 수 없어. 다른 친구들은 막 공부하는데, 나만 뒤처지게 될 것 같아 답답하고 괴롭다.",CLAUDE,2,3,3,2,2,3
과잉 일반화,"[여자/16세]
---
원래 꽤 사교적이었지만, 작년에 겪은 불편한 일로 인해 지금은 친구들과 어울리기가 두렵습니다. 그들이 내 성격이 변했다고 지적하면 불안해지고, 수업 집중도 어려워지네요. 혼자 있는 게 편한데 이대로 계속 살면 어떡하나 걱정되어요.",CLAUDE,3,2,3,2,3,3
성급한 판단,"[여자/15세]
---
내 노력에도 불구하고 친구들이 나를 피한다. 내가 뭘 잘못했는지 모르겠어. 선의의 행동이 오해를 받아 마지막 남은 친구마저 멀어지는 건 너무 슬픈 일이야.",CLAUDE,3,3,3,2,2,3
과잉 일반화,"[여자/15세]
---
집에 짐만 되는 걸 피하고 싶지만, 가족들이 날 걱정하고 있을 거라니. 상담선생님도 바뀌어서 솔직히 털어놓기 어렵네. 결국 누구에게도 말할 곳이 없어서 답답하기만 해.",CLAUDE,2,2,3,2,2,3
감정적 추론,"[여자/18세]
---
이 동아리 시간은 완전 낭비라고 생각해. 내가 원하는 음악 연습을 할 수 없어서 너무 답답해. 그냥 동아리 선생님 말만 듣고 싶지 않아. 음악 준비로 힘들 텐데 이렇게 시간을 허비할 순 없어.",CLAUDE,3,3,3,2,3,2
과잉 일반화,"[여자/15세]
---
친구가 나를 무시하는 게 틀림없어. 다른 친구들도 모두 그렇게 행동할 거야. 이제 학원가기도 싫어졌어. 엄마한테 솔직히 말하면 이해할 리가 없겠지. 어쩌지, 시험기간이라 더 힘들어.",CLAUDE,2,3,3,2,3,3
'해야 한다' 진술,"[여자/18세]
---
""아 정말 공부도, 친구도 모두 해야 할 것들 뿐이야. 내가 하고 싶은 건 할 수 없고 부모님의 기대만 버거워. 휴학이라도 해볼까 하는데 엄마께서 화내실까봐 감히 말씀드리지 못하겠어.""",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/17세]
---
학교 생활이 힘들어요. 선배들은 특성화고가 좋다고 말했는데, 실제로는 매우 혼란스러워요. 이대로 계속하기가 두려워요. 다른 길을 찾아보고 싶지만, 전학은 쉽지 않을 것 같아요.",CLAUDE,3,2,3,2,2,3
흑백 사고,"[여자/14세]
---
작은 실수로 친구와 멀어져가 슬퍼요. 친구가 저를 이해해주지 않는다고 생각해요. 친구를 너무 필요로 하지만, 이제는 친구를 포기해야 할까요? 이 상황을 어떻게 해결해야 할지 모르겠어요.",CLAUDE,2,2,3,2,2,3
과잉 일반화,"[여자/16세]
---
몇 번 결석하니 친구들이 나를 피하는 것 같아요. 말도 건네보지만 모두 가식적으로 변해버렸네요. 혼자서 학교를 다니니 점점 힘들어지고 있어요. 앞으로도 이렇게 외롭게 지내야 할까봐 걱정돼요.",CLAUDE,3,3,3,2,2,3
감정적 추론,"[여자/16세]
---
학교에 가는 것이 견딜 수 없어요. 항상 저에게 무슨 일이 일어날지 걱정돼요. 선생님들과 친구들이 저를 무시하는 것 같아 눈물만 나요. 학교는 제게 고통뿐이라 생각합니다.",CLAUDE,3,3,3,2,3,3
개인화,"[여자/15세]
---
내가 친한 친구와 놀다가 다른 친구들에게 따돌림을 당하고 있어. 내 친구도 날 피하라고 해서 너무 힘들어. 혼자 있으면 슬프고 불안한데, 친구들이 날 피하니 더 외롭다.",CLAUDE,3,3,3,2,2,3
낙인찍기,"[여자/17세]
---
이 학교는 너무 싫어요. 공부도 하기 싫고 친구들도 이상하게 날 보는 것 같아요. 아침에 일어나는 것도, 옷 입는 것도 너무 힘들어요. 최근엔 자신감도 바닥이고 움직일 의욕도 없어요.",CLAUDE,3,2,3,2,2,3
성급한 판단,"[여자/15세]
---
학교에서는 항상 내 행동이 소문날까 걱정돼. 상담받으려고 해도 주변 사람들이 알게 될까 봐 두렵네. 열심히 살아가는데 왜 누군가 나를 괴롭히는 걸까?",CLAUDE,2,2,3,2,2,3
과잉 일반화,"[여자/15세]
---
새로운 학교에 입학했지만, 어색함에 친구를 사귀기 어렵다. 나는 외톨이가 될 것 같고, 학교생활에 적응하지 못할 것 같아 걱정된다. 선배들은 나보다 활발하고 인기 있어 보여, 나와는 다를 것 같다.",CLAUDE,2,2,3,2,2,3
흑백 사고,"[여자/17세]
---
수능 점수가 망가져 너무 괴롭습니다. 부모님께 죄송하고 남들보다 뒤처진 것 같아 우울해요. 재수는 불가능해 보이고 앞날이 묘연해 보여요. 살고 싶지 않아요.",CLAUDE,3,3,2,2,3,2
감정적 추론,"[여자/17세]
---
애들이 나를 따돌리고 괴롭혀서 너무 힘듭니다. 학교 그만둘까 생각하지만 어떻게 해야 할지 모르겠어요. 스트레스에 시달려 건강도 나빠져서 걱정이에요...전학이 유일한 해결책일까요?",CLAUDE,3,3,3,3,3,2
개인화,"[여자/16세]
---
친구들과 어울리다 불편한 일이 생겼어요. 다른 친구들이 싸웨서 서로 감정이 상한 것 같아요. 저도 모르게 어느 편을 들게 되어 제가 문제를 더 키운 것 같아 걱정돼요. 이제 다들 저를 이간질 시켰다고 합니다.",CLAUDE,3,3,2,2,3,2
흑백 사고,"[여자/17세]
---
이번 기말고사를 망쳐버리겠지. 이렇게 계속 공부를 해도 절대 좋은 성적을 받을 수 없을 거야. 이제 기말고사는 포기해야겠다. 앞으로도 아무것도 이루어낼 수 없을 것 같아.",CLAUDE,3,3,3,2,3,3
부정적 편향,"[여자/17세]
---
용접 실력이 계속 늘지 않아 실망스럽지만, 좋은 기업에 들어갈 기회를 얻었다고 합니다. 하지만 그저 친구 덕에 들어가기보다는 열심히 공부해서 내 실력으로 좋은 곳에 가고 싶습니다.",CLAUDE,2,3,2,2,2,3
확대와 축소,"[여자/17세]
---
친구들과 더 잘 지내고 싶었지만, 점점 과도하게 그들이 나를 무시한다고 생각했어. 이제 졸업하면 친구들과 멀어질까 봐 걱정돼. 나 혼자 있게 될까 두려워서 견딜 수가 없어.",CLAUDE,3,3,3,2,3,3
낙인찍기,"[여자/고2]
---
이 학교 생활이 너무 힘들어. 성적도 바닥이고, 친구들과도 멀어져 가는 것 같아. 나는 누구에게도 도움을 요청할 수 없어. 이젠 모든 게 싫어지고, 그냥 살고 싶지 않아.",CLAUDE,3,3,3,2,2,3
감정적 추론,"[남자/15세]
---
복싱 수업이 너무 힘들어서 그만두고 싶지만, 친구가 날 비난하며 계속하라고 강요해. 이게 정말 친구 행동이라고 생각하니 너무 화가 나. 과연 나는 포기하는 게 맞는 걸까?",CLAUDE,3,3,3,2,3,3
흑백 사고,"[남자/15세]
---
내가 다니는 이 괴롭힘 학교에서는 결코 좋은 미래를 기대할 수 없어. 자퇴해서 검정고시 준비를 해야겠어. 하지만 그 뒤에는 정상적으로 졸업한 친구들보다 차별받을까 두려워.",CLAUDE,3,3,2,2,3,2
과잉 일반화,"[여자/17세]
---
다들 나를 멀리하는 것 같아. 학교에 소문이 퍼진 것 같은데 어떻게 해야 할지 모르겠어. 1학년 때 친구들도 나를 피하는 것 같아. 전학이 최선의 선택일까?",CLAUDE,2,3,3,2,3,2
감정적 추론,"[여자/15세]
---
올해도 역시 모르는 얘들만 내 주변에 있네. 내가 착한 성격이어서 그런지 애들이 날 업신여기는 듯하다. 이렇게 친구가 없으면 학교생활이 괴로울 것 같아.",CLAUDE,3,3,2,2,3,2
긍정 축소화,"[남자/17세]
---
얼마전에 SNS에서 마음에 드는 여자를 만났어. 그런데 내 외모가 괜찮지 않아서 그녀가 나를 좋아하지 않을 거라 생각했어. 결국 용기를 내서 접근했지만, 그녀는 내 연락을 피하더라.",CLAUDE,2,3,3,2,2,2
과잉 일반화,"[여자/14세]
---
수련회가 싫은데 내일 동의서를 내야 해. 내가 친구들과 잘 어울리지 못하고 선생님께 꾸중받을 것 같아. 또 내 성격과 행동이 다른 애들과 다르다고 생각하니 나는 완전 외톨이라고 느껴.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/15세]
---
수학 시험 점수가 생각보다 좋지 않아 걱정됩니다. 친구랑 점수를 바꿔서 내가 좋은 점수를 받으라고 하는데, 이것은 잘못된 일인 것 같습니다. 하지만 선생님께 솔직히 말하기가 두려워요.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/15세]
---
제가 그 남자랑 장난치다가 좋아하게 됐다고 생각했지만, 요즘 그가 저에게 무관심한 것 같아요. 제 친구가 저에게 관심을 가진 것 같지만, 저는 그 남자만 생각하고 있어요. 친구와 다가가기가 두려워요.",CLAUDE,2,2,3,2,2,2
과잉 일반화,"[여자/16세]
---
키가 크다 보니 친구들의 말을 잘못 듣고 싫어하게 되었어요. 지금은 혼자가 되어 다른 친구들도 무서워 대화하기 힘들어요. 올해는 평범하게 지내고 싶지만, 걱정되네요.",CLAUDE,2,2,2,2,2,2
과잉 일반화,"[여자/15세]
---
새로운 학교에 온 지 한 달째지만, 나는 여전히 혼자서 점심을 먹고 있다. 아이들이 서로 말을 걸어오지만, 나는 내가 주도적으로 나서서 친구를 만들기에는 너무 소심하다. 결국 혼자만 소외되는 것 같아 답답하다.",CLAUDE,3,3,3,2,3,3
감정적 추론,"[남자/16세]
---
학교는 지옥이다. 매일 같은 일상이 반복되어 답답하다. 선생님들도 나를 이해하지 못하고, 친구들도 관심 없다. 이런 상황에서 자퇴를 생각하고 있다. 빨리 아버지의 인테리어 일을 이어받아 새로운 삶을 살고 싶다.",CLAUDE,2,3,3,2,2,3
과잉 일반화,"[여자/고1]
---
같은 친구들과 함께 있지만, 어느새 그들과 멀어졌다. 친구들이 내 말에 귀 기울이지 않고, 나를 소외시키는 것 같아 늘 외로움을 느낀다. 새로운 사람을 사귀고 싶지만, 끼어드는 것 같아 망설여진다.",CLAUDE,3,3,3,2,3,3
성급한 판단,"[여자/16세]
---
친구들이 내 자리를 빼앗아 갔다. 내 잘못이 아니었는데도 선생님을 찾아가 말하기가 부끄러웠다. 혼자 앉게 되어 내가 바보 같이 느껴졌다. 이젠 아무도 나를 좋아하지 않을 거야.",CLAUDE,2,3,3,2,2,3
과잉 일반화,"[남자/15세]
---
제가 새로 배정된 반에는 아는 사람이 하나도 없어요. 다른 반 친구들은 서로 잘 어울리는데, 저만 혼자 있는 것 같아 소외되고 있어요. 친구 사귀는 법을 모르겠고, 말이 늘 어눌해서 다가가기가 힘들어요.",CLAUDE,3,2,3,2,3,3
흑백 사고,"[여자/17세]
---
학교에 가면 시간을 허비한다고 느껴져. 공부나 하라고 하지만 뭘 해야 할지 모르겠어. 이 길밖에 없나 싶어서 자퇴도 고민 중이야. 내게 꿈이 없으니 앞으로 어떻게 해야 할지 정말 모르겠어.",CLAUDE,3,2,3,3,3,3
과잉 일반화,"[여자/15세]
---
처음에는 친구들이 잘 어울려 노는데, 나는 점점 혼자 느껴지고 있어. 다들 그룹으로 다니니까 나만 소외되는 것 같아 걱정돼. 이렇게 계속 혼자일 것 같다니 앞으로도 친구를 사귈 수 없을 것 같아.",CLAUDE,2,3,3,2,3,3
과잉 일반화,"[여자/18세]
---
어느덧 졸업을 앞두고도 여전히 학교에 가기 싫고, 친구들과 만나는 것도 귀찮습니다. 이렇게 살아온 시간들이 허무하고, 앞으로의 미래도 불안합니다. 사람들이 변했고, 나도 변했는데 어떻게 다시 적응해야 할지 모르겠어요.",CLAUDE,3,2,3,2,3,3
성급한 판단,"[여자/16세]
---
반친구들이 나를 따돌리는 것 같아 걱정돼요. 누군가 말을 걸어도 대답이 짧아서 이제는 아예 말도 걸지 않네요. 앞으로 1년 내내 이렇게 지내야 할까 봐 걱정되네요.",CLAUDE,3,2,3,2,2,3
성급한 판단,"[여자/고2]
---
2주가 지나도록 아직 친구를 사귀지 못했어. 다른 애들은 모두 친구들과 잘 지내는데, 나만 고립된 것 같아 슬프고 답답해. 너무 시간이 지나서 이제는 어려울 것 같아.",CLAUDE,3,2,3,2,2,3
성급한 판단,"[여자/16세]
---
친구들이 날 이상하게 대하는 것 같아요. 시간이 지날수록 매력이 없어졌나 봐요. 이대로 갈수록 소외될까 봐 걱정돼요. 혹시 친구들이 나를 좋아하지 않게 될까요?",CLAUDE,2,3,3,2,2,2
과잉 일반화,"[여자/15세]
---
전학 와서 친구가 하나도 없어. 모두들 자신의 친구들과만 어울리고, 나를 피하는 것 같아. 어색한 분위기에 혼자 있어 너무 외롭고 우울해. 중학교 때는 이렇지 않았는데 이젠 아무도 내게 관심 없어 보여.",CLAUDE,3,3,3,2,3,3
성급한 판단,"[여자/17세]
---
새로운 학교에 입학했지만 친구들은 모두 서로 어울리고 있어 혼자 지내야 할 것 같다. 다들 내가 어색해하는 것을 알아차리지 못하고 있어 점점 소외되는 것 같아 걱정된다.",CLAUDE,2,2,3,2,2,3
과잉 일반화,"[여자/16세]
---
우리 친구들은 항상 나처럼 소심하고 수동적인 편이라 대화에 활력이 없어 보인다. 새로운 주제를 꺼내려 해도 모두가 무관심한 반응이라 포기하게 된다. 내가 노력해봐야 소용없을 것 같다.",CLAUDE,2,2,3,2,3,3
성급한 판단,"[여자/15세]
---
아이들이 나에게만 말을 안 걸고 부르르 피하는 것 같아. 분명 내가 뭘 잘못했나 싶지만, 다른 친구들은 잘 지내는데 나만 그렇다니. 어쩌지 이렇게 소외감이 들어.",CLAUDE,3,3,3,2,2,3
과잉 일반화,"[여자/16세]
---
누군가 나를 이해해주길 바라지만, 어떤 이들은 나를 외면하고 있어. 힘들지만 혼자 지내는 것에 익숙해지고 있지만, 친구가 생기지 않아 외롭고 힘들어. 학교생활이 점점 어려워지는 것 같아.",CLAUDE,2,2,3,2,3,2
과잉 일반화,"[남자/16세]
---
학교에선 인기도 없고, 친구들도 나를 피한다. 게임도 못해서 욕만 먹는다. 여자애들도 나를 무시하니 대체 왜 이렇게 살아가는 걸까? 앞으로도 이렇게 살아야 하나...",CLAUDE,3,3,3,3,3,2
확대와 축소,"[여자/15세]
---
공부도 잘 못하고 친구도 없어. 수업은 지루하고 이해도 잘 못하겠어. 지금 성적으로는 대학도 갈 수 없을 것 같아. 차라리 자퇴하고 검정고시로 고졸 학력이라도 따는 게 나을까?",CLAUDE,3,2,3,2,2,3
과잉 일반화,"[여자/16세]
---
공부도 친구도 이도저도 아닌 나. 다른 애들은 그렇게 열심히 하는데 나는 아무것도 못하는 것 같아. 내 앞길이 막막하고 불안하기만 해.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[여자/17세]
---
새 학년이 되었지만, 작년에 겪었던 그 어려움이 다시 올까 봐 걱정돼. 반 친구들이 어떤 모습일지, 내가 또 잘 어울리지 못할지 두렵네. 이게 바보 같아 보일지도 모르겠지만, 학교생활이 힘들 것 같아 걱정돼.",CLAUDE,3,3,3,3,2,3
흑백 사고,"[여자/17세]
---
학교에 다니기 싫어요. 막상 가면 즐겁지만 가기까지가 정말 힘들어요. 집에만 있고 싶어요. 학교에 안 가면 친구들과 어울릴 수 없어 슬프지만, 차라리 자퇴하고 싶습니다. 잘 모르겠어요, 이상한 상황입니다.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/17세]
---
내가 동아리 친구와 대화하다가 갑자기 다른 말을 꺼내는 걸 들었어. 왜 숨기고 있는 거지? 분명 뭔가 숨긴 것 같은데 나에게 말해주지 않는다니 속은 것 같아 짜증이 나.",CLAUDE,2,3,2,2,3,2
감정적 추론,"[여자/18세]
---
학교에서 우리반 친구들과 친해지기 어려웠어. 다른 반 친구들과 잘 어울리지만, 혹시 내가 방해될까봐 걱정돼. 무언가 들이대기 싫어서 혼자 지내는 날이 많아졌어.",CLAUDE,2,3,3,2,3,2
긍정 축소화,"[여자/18세]
---
친구가 많이 있지만 진짜 친구는 없어요. 학교에서 잘 지내는 것 같지만 실제로는 외롭고 혼자입니다. 이런 상황에서 취업을 준비해야 하니 더 힘들어요.",CLAUDE,2,2,3,2,2,3
감정적 추론,"[여자/15세]
---
어제 운동부 친구들과 운동하려다 체육관이 꽉 차 있어서 못했어. 운동부애들은 언제나 우리반 친구들보다 돋보이고, 나는 절대 그들의 실력을 따라잡을 수 없어 보여.",CLAUDE,2,2,2,2,2,2
과잉 일반화,"[여자/14세]
---
새로운 학교에 적응하기 힘들어요. 친구 사귀기도 어렵고, 애들이 저를 좋아하지 않는 것 같아요. 집에 혼자 가는 것도 불편하네요. 앞으로 계속 이렇게 지내야 하나 봐요.",CLAUDE,2,2,3,2,3,2
흑백 사고,"[여자/15세]
---
내가 친구를 놀렸더니 화가 나서 나를 욕하고 때렸다. 하지만 친구가 먼저 나를 괴롭혔으니 당연히 그렇게 했을 것이다. 나도 잘못했지만 친구가 더 나쁜 것 같다. 이제 어떡하지?",CLAUDE,3,2,2,2,2,2
성급한 판단,"[여자/16세]
---
제가 친구들과 어울리지 않은 건 잘못이 없어 보이는데, 친구가 저에 대해 계속 나쁘게 말하네요. 저는 이런 상황을 어떻게 해결해야 할지 모르겠어요.",CLAUDE,2,2,3,2,2,3
감정적 추론,"[여자/15세]
---
학교 상담실에 도움을 요청하고 싶지만, 다른 학생들이 볼까 봐 걱정돼. 상담 내용이 선생님들에게 알려질까 두려워서 망설여지네.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/15세]
---
새 학기, 다른 친구들과 어울리며 외로웠던 마음이 들어요. 혼자 있는 시간이 늘어나자 점점 불안해지고 모든 게 부정적으로 보이네요. 이렇게만 지속되면 제가 어떻게 될지 걱정돼요.",CLAUDE,2,2,2,2,2,3
성급한 판단,"[여자/16세]
---
내일 학교에 가면 친구들이 날 피할 거야. 그들은 내가 어제 너무 심하게 말했다고 생각할 거예요. 아무도 날 용서하지 않을 것 같아요. 이제 모든 게 끝났어요.",CLAUDE,2,2,3,2,3,3
확대와 축소,"[여자/15세]
---
다른 애들은 모두 친구들과 어울리는데, 나만 혼자 있는 것 같아. 말도 많이 하지 못하고, 다들 나를 무시하는 것 같아. 한 친구랑만 있으면 편하지만, 혹시 그 친구도 나를 좋아하지 않을까 걱정돼.",CLAUDE,3,3,3,2,2,3
과잉 일반화,"[여자/14세]
---
아직도 친구가 없어. 모두들 나를 피하는 것 같아. 이대로는 영원히 혼자일 것 같아. 내가 너무 소심한 걸까? 앞으로 어떡해야 할지 모르겠어.",CLAUDE,2,3,3,2,3,3
감정적 추론,"[여자/14세]
---
엄마가 내 공부 점수를 보고 혼내셨어요. 내가 열심히 했는데도 왜 그러시는지 모르겠어요. 아니 내가 뭘 더 할 수 있을까요? 너무 괴롭고 화가 나네요.",CLAUDE,2,3,3,2,2,3
성급한 판단,"[여자/15세]
---
친구들이 나만 피하는 것 같아 화장실에 혼자 숨어 있어요. 같은 반 친구들이 나를 싫어하는 건 아닐까 걱정돼. 이번 주부터는 강제로라도 친구들에게 다가가려고 해요.",CLAUDE,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
무엇을 잘할지 모르겠어. 공부도 잘 되지 않고 앞으로의 꿈도 없어. 선생님이 직업을 고르라고 해서 고민이야. 평범한 나라고 어떤 직업이 어울릴지 모르겠어.",CLAUDE,3,3,3,2,3,2
성급한 판단,"[여자/16세]
---
새로운 학급으로 전학 와서 혼자 있는 것 같아요. 친구들이 원래부터 알고 지냈다고 하니 제가 어울리기 어려울 것 같아요. 그래도 용기내어 말 걸었지만, 그 친구들은 무시하고 싫은 척해요. 어떻게 해야 할지 모르겠어요.",CLAUDE,2,2,3,2,2,3
과잉 일반화,"[여자/16세]
---
올해 새로운 학년이 되었지만, 예전 친구들과 연락이 끊겼어요. 새로운 친구를 사귀고 싶지만, 절대 잘 어울리지 못할 거라고 생각해요. 앞으로도 혼자서 학교생활을 해야 할까 봐 걱정이 커요.",CLAUDE,2,3,3,2,3,3
성급한 판단,"[여자/15세]
---
학교에서 친구들이 나를 무시하는 것 같아요. 친구들은 항상 작은 무리를 지어다니고, 저는 혼자 있게 됩니다. 저도 함께하려고 해보지만, 친구들은 저를 신경 쓰지 않아요. 어떻게 해야 친구들과 친해질 수 있을까 걱정됩니다.",CLAUDE,3,2,3,2,3,3
낙인찍기,"[여자/15세]
---
저희 학교에 성격이 좀 이상한 애가 있어요. 그 애가 제 물건을 마음대로 사용하고 있어서 너무 화나요. 그리고 집에 돈이 많은 것 같아서 제가 가진 게 더 부러워 보이나 봐요. 이렇게 계속 짜증나는데 어떻게 해야 할지 모르겠어요.",CLAUDE,2,2,3,2,2,2
성급한 판단,"[여자/17세]
---
새로운 고등학교에 혼자 배정되어 걱정이 되네요. 주변 애들이 이미 친한 모습을 보이니 제가 끼어들면 불편해할 것 같아요. 다른 애들은 쉽게 친구를 사귀겠지만, 저는 어떻게 해야 할지 모르겠어요.",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[여자/17세]
---
공부는 정말 내 적성과 맞지 않는 것 같아. 고등학생이 되니 진로 걱정이 더 커져서 스트레스만 받고 있어. 아직 관심 있는 게 없어서 앞이 보이지 않아. 실컷 노력해도 도움이 안 되는 거 같아.",CLAUDE,2,3,3,2,2,3
감정적 추론,"[여자/17세]
---
이 학교는 정말 맞지 않아. 전공과목만 하느라 수능 준비도 못해주고, 실습은 너무 싫어. 새로운 학교로 전학 가고 싶지만 안된다고 하니 너무 실망이야. 여기 온 것이 후회되네.",CLAUDE,3,3,3,3,3,2
감정적 추론,"[여자/16]
---
친구가 미국으로 가버려 이번 달이 정말 뜻 깊지 않을 것 같아. 돈이 없어서 좋은 여행지를 가지도 못하니 너무 허무하고 슬픈 마음이 드네. 다시는 친구를 볼 수 없을지도 모르겠어.",CLAUDE,3,3,2,2,3,2
감정적 추론,"[여자/16세]
---
체육 시간이 다가오면 늘 긴장이 되어요. 친구들이 날 보고 웃을까 봐 걱정돼요. 선생님이 또 내가 잘하지 못하는 걸 시켜서 망신당할까 봐 걱정이 앞섭니다. 어떻게 하면 이런 부정적인 생각을 극복할 수 있을까요?",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[남자/17세]
---
고3이 되자마자 위탁교육이 취소되어 실망했어. 이사실을 알고나서 학교가는 것이 정말 싫어졌어. 고3 내내 우울하게 지낼 것 같아서 자퇴하고 검정고시 준비하기로 했어.",CLAUDE,2,2,3,2,2,2
'해야 한다' 진술,"[여자/16세]
---
공부해야 한다고 생각하지만, 게임과 인터넷 사용에 집중이 계속 되어요. 선생님께 도움을 요청하고 공부 계획을 세워야겠어요. 그렇게 해야 집중력도 기를 수 있을 것 같아요.",CLAUDE,3,3,3,2,2,3
