Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
과잉 일반화,"[여자/14]  
---  
학원에서 사귄 남자애가 잘 대해주고 집에도 데려다줘요. 그런데 그의 옛 여자친구들은 모두 착하다고만 하네요. 저는 성격이 소란스러워서 잘 맞을지 걱정이에요. 또 이별 통보도 걱정되고...",GPT,2,3,2,2,2,2
성급한 판단,"[여자/16]  
---  
남자애들이랑 농담을 할 때마다 얼굴이 화끈거려요. 그들이 내가 마음에 들어 한다고 착각하는 것 같아 민망해져요. 여자애들과는 안 그러는데, 왜 나만 이런 걸까요? 정말 쟤들한테 마음이 있는 걸까요?",GPT,3,2,2,2,2,3
과잉 일반화,"[여자/17세]  
---  
주말마다 가사 도우미처럼 동생들을 돌보면, 부모님은 나를 이해해주지 않아요. 내 마음은 항상 소외된 느낌이에요. 누구도 나를 언니로 진심으로 대해주지 않는 것 같아요. 반복되는 일상 속에 갇힌 기분이죠.",GPT,3,3,2,2,3,2
성급한 판단,"[여자/17]  
---  
친구들과 점심을 먹으면서, 그의 대답이 너무 마음에 안 들어서 불안해요. ""그가 날 별로 안 좋아하는 게 아닐까?"" 자꾸 걱정이 커져요. 연락이 없는 건 나를 싫어하게 변했나 싶어서 너무 불안해요.",GPT,2,3,2,2,2,2
감정적 추론,"[여자/14]  
---  
혼자서 지내고 싶지만, 누군가에게 의지하지 않는 나의 모습이 불안해요. 친구들은 그냥 공부하라고만 하는데, 독립할 방법이 정말 없는 건가요? 항상 감정적으로 힘들어요.",GPT,2,3,2,2,3,2
과잉 일반화,"[여자/14]  
---  
시험 준비로 밤새워 공부했는데 결국 3등. 친구는 자랑하는데, 나는 매번 이러니 왜 사는지 모르겠어. 집에서는 ""왜 못하냐?"" 또 소리치고, 울고 싶어도 혼자 기댈 사람이 없어.",GPT,2,3,2,2,3,2
과잉 일반화,"[여자/15세]  
---  
친구들과의 대화에서 나에 대한 뒷담이 오간다는 이야기를 들었다. 잘못한 것도 없는데, 모든 것이 지치고 불안해. 외모도 자신 없고, 미래가 막막해. 그냥 살기 싫어.",GPT,2,3,2,2,2,3
감정적 추론,"[여자/15]  
---  
그가 같은 반이라는 사실을 알았어요. 하지만 대화는커녕 얼굴조차 모르죠. 소극적인 제가 먼저 말을 걸 수 있을지 불안해요. 친해질 수 있을까요? 생각만으로도 막막해요.",GPT,3,3,3,3,3,3
흑백 사고,"[남자/18]  
---  
대학 합격 발표가 있었는데, 결과는 기대 이하였다. 부모님 얼굴이 떠올라 눈물이 나왔다. 나는 도대체 왜 이렇게 부족한 걸까? 실패한 인생이 계속 떠오르고, 앞으로의 미래가 정말 없을 것 같아 막막하다.",GPT,2,3,2,2,3,3
흑백 사고,"[여자/18]  
---  
미술 수업 중, 완벽하게 그려야 한다는 압박감에 대충대충 하게 되었어요. 친구들은 멋진 작품을 만드는데, 나는 심지어 그리기조차 싫어졌어요. 이대로는 진짜 나쁜 사람 될 것 같아요.",GPT,3,3,3,2,3,2
'해야 한다' 진술,"[여자/17세]  
---  
学校에서 발표할 때마다 말을 더듬고, 친구들 눈치가 보여 정말 괴롭다. 매번 실수할까 두려워, 나 자신에게 자책만 가득하다. 정신적으로 힘든 이 상태로, 나를 어떻게 하면 좋을까?",GPT,3,2,3,2,2,2
과잉 일반화,"[여자/14]  
---  
점심시간, 나는 B와 함께 있던 자리가 텅 비어 있었다. C와 D가 떠나며 나를 놓고 갔다. 이제 나는 혼자일 거라 생각하니 괴롭고 불안하다. 나도 찐따가 된 것 같아 슬프다.",GPT,2,3,2,2,3,2
감정적 추론,"[남자/17]  
---  
시험 전날, 친구와 카페에서 공부했어요. 그가 듣더니 제가 시험을 잘 못 볼 것 같다고 했어요. 그래서 그 말이 계속 머리에 맴돌고, 아예 나 자신을 믿을 수 없게 되었어요.",GPT,2,2,2,2,2,3
흑백 사고,"[여자/18]  
---  
학원에서 내신을 준비하는데, 나는 정말 아무것도 할 수 없는 것 같아. 주변 친구들은 다 잘하고, 나는 혼자서 암담한 미래를 걱정하고 있어. 그냥 사라지고 싶다는 생각만 드네.",GPT,2,3,2,2,3,3
과잉 일반화,"[여자/17]  
---  
교실에서 친구들과 대화하려고 했지만, 나만 빼고 모두가 잘 어울리는 모습이 부담스러워 자리를 피했어. 이미 만들어진 관계 속에 끼어들기 힘들고, 혼자 다니는 게 더 나은 것 같아.",GPT,3,3,3,2,2,3
흑백 사고,"[여자/15]  
---  
가족 간의 대화는 늘 싸움뿐이예요. 아빠는 집에 없는 게 더 편해 보이고, 엄마는 저에게 기대를 걸어요. 저는 나쁜 아이인 것 같아 죽고 싶을 때까지 매일 지쳐갑니다. 도움이 필요해요.",GPT,2,3,2,2,3,2
흑백 사고,"[남자/17세]  
---  
어쩌다 친구들이 모여서 커피숍에 갔는데, 나는 그냥 앉아서 빈 잔만 보고 있었다. 다들 하고 싶은 게 있다는데, 나는 혼자서 즐거운 게 없어. 그냥 놀기만 좋아했었나 봐. 이런 내가 한심해.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/17]  
---  
친구들과 보낼 시간이 줄어들수록, 나는 언제부턴가 반에서 외톨이가 된 기분이 들어. 모든 것이 잘 되지 않는 것 같고, 더 이상 친구를 사귈 자신이 없어. 나에게는 친구가 필요 없어 보인다.",GPT,2,2,2,2,2,2
감정적 추론,"[여자/15세]  
---  
SNS에서 친구에게 메시지를 보냈다. ‘어쩌면 잘못 누른 건 아닐까’라는 생각에 사로잡혔다. 그 뒤로 계속 불안이 밀려와서 누군가 나를 공격할 것만 같아 숨이 막힌다. 정말 무서워.",GPT,3,3,2,2,3,3
흑백 사고,"[여자/18]  
---  
이번 방학에 아르바이트를 시작했는데, 고객들이 저를 신뢰하지 않는 것 같아요. 실수도 많이 해서 전혀 좋게 생각되지 않아요. 부모님은 기대하시지만, 전 이미 실패한 것 같은 기분이에요. 정말 잘할 수 있을까요?",GPT,2,2,2,2,2,3
낙인찍기,"[여자/16]  
---  
학교에서 친구들과 이야기할 때마다, 나는 항상 잊혀진 존재처럼 느껴져요. 반 친구들은 내 동생만 언급하고, '너는 왜 그렇게 못하니?'라는 눈빛을 보내요. 점점 더 외로워지고 우울해져요.",GPT,3,3,2,2,2,3
과잉 일반화,"[여자/16세]  
---  
친구들과 커피숍에서 만났는데, 모두 대학생이고 난 고등학생이라 awkward했어. 어른이라면 보여줘야 할 사회성이 나한테는 없는 것 같고, 나도 이렇게 되겠지? 아, 진짜 기분이 안 좋다.",GPT,3,2,2,2,2,2
확대와 축소,"[남자/17]  
---  
이젠 아무리 노력해도 엄마에게 대드는 내가 너무 싫다. 친구는 잘 지내는데 나는 왜 이렇게 힘든지 모르겠다. 버티다 지쳐서 결국 학교도 안 가고 친구들 만나러 간 날이 점점 늘어만 간다.",GPT,2,2,2,2,2,3
성급한 판단,"[여자/14]  
---  
점심시간, 단짝이 갑자기 다른 아이와 놀러갔어요. 나는 화가 나고 불안해졌죠. 내가 싫어졌나? 같이 놀고 싶었는데, 왜 나를 두고 가는 걸까요? 더 친해지고 싶지만, 점점 불안해져요.",GPT,3,3,3,2,2,3
부정적 편향,"[남자/17]  
---  
친구들과의 대화가 점점 짧아지는 느낌이에요. 예전에는 웃으며 대화했는데, 요즘은 어색한 침묵이 많아졌죠. 내가 인기가 없어진 걸까요? 언젠가 얼굴이 피곤해 보여서 대화하기 싫어진 걸까요?",GPT,2,2,3,2,2,3
'해야 한다' 진술,"[여자/17]  
---  
기대감이 큰 언니와 달리 나는 항상 부족하다 느껴. 학원에서 나를 바라보는 시선이 부담스럽고, 친구들 사이에서도 열등감이 자꾸 커져만 가. 힘들지만, 계속 참아야 할 것 같아.",GPT,2,3,2,2,2,3
성급한 판단,"[남자/15세]  
---  
친구들이 저를 지켜보는 것 같아요. 좋아하는 여자에게 호감이 생겼는데, 다른 남자들이 먼저 다가가는 모습이 자꾸 신경 쓰여요. 저를 절대 선택할 리가 없겠죠. 어떻게 해야 할지 모르겠어요.",GPT,3,3,2,2,2,3
확대와 축소,"[여자/16]  
---  
제가 인생에 아무 희망도 없는 것 같아요. 친구들은 항상 웃고 저를 멀리하고, 부모님의 이혼 이후로 나 혼자 남겨졌어요. 학교 가면 항상 무시당하고, 이제 정말 견딜 수가 없어요.",GPT,2,3,2,2,3,2
확대와 축소,"[여자/18]  
---  
수업시간, 친구들은 나를 무시하고 자기들끼리 떠들고 있어. 말하고 싶은 게 많은데 내 목소리가 작아서 그런가 싶어. 그럼에도 불구하고 친구들이 내 이야기를 듣지 않는 것 같아 너무 슬퍼.",GPT,2,2,3,2,2,2
확대와 축소,"[남자/17]  
---  
학교에서 성적이 떨어지자 스스로 부족하다고 느끼고, 친구들이 나를 무시한다고 생각해. 내가 너무 통통하고 여드름이 많아서 매일같이 자책하며, 변하고 싶다는 마음만 커져가고 있어.",GPT,3,3,2,2,3,3
낙인찍기,"[남자/17]  
---  
운동장에서 친구들이 자꾸 내 외모를 비웃더군. '무서워'라는 소리에 내가 못생겼나 싶고, 여학생들은 나한테 다가오지 않아서 외롭기만 해. 성격은 좋은데, 외모 때문에 사람들도 나를 싫어할 것 같아.",GPT,3,3,3,2,3,2
과잉 일반화,"[남자/17]  
---  
요즘 여자친구가 나를 무시하는 것 같아요. 친구들이랑 있었던 날, 나는 다른 애들한테만 신경 쓴 걸로 오해했나 봐요. 이젠 서로 연락도 안 해요. 우리 관계는 끝인가요?",GPT,3,3,2,2,2,2
과잉 일반화,"[남자/16세]  
---  
어디서나 그 여자만 생각나요. 고백했는데 차였고, 그게 끝인 것 같아요. 친구가 나 대신 좋아한다고 하더니 더 힘들어져요. 계속 마음이 무너져서 더 이상 웃을 수 없을 것 같아요.",GPT,2,3,2,3,3,2
성급한 판단,"[여자/16세]  
---  
오랜 친구가 자꾸 나한테 마음이 있는지 궁금해. 문자도 자주 오고, 손도 잡았는데, 남자친구가 있는 걸 알면서 왜 이러는 걸까? 마음이 이용당하는 건 아닌지 혼란스러워.",GPT,2,3,3,2,2,3
과잉 일반화,"[남자/16세]  
---  
체육시간, 자신감 없는 친구들은 항상 킥볼을 못한다고 비웃는다. 쎈 애들은 날카롭게 지적하며 웃고, 공부 잘하는 애들은 비웃음 속에 선생님을 아부만 한다. 내 눈에 그들은 진짜 약하다.",GPT,3,3,2,2,3,2
부정적 편향,"[여자/17]  
---  
고등학교 진학에 대한 고민으로 매일 힘듭니다. 친구들 앞에선 웃지만, 집에선 저의 진짜 감정을 감추는 게 지칩니다. 제 꿈보다 부모님의 기대를 먼저 생각하며, 자괴감이 깊어져만 갑니다.",GPT,3,3,3,2,3,3
성급한 판단,"[남자/18]  
---  
며칠 전, 좋아하는 친구가 나를 피하는 것 같아 불안했어. 연락을 안 하니깐 상대방도 바쁘겠지 생각하면서, 혹시 내가 부담 줬던 건 아닐까 걱정이 밀려와서 한동안 우울해졌어.",GPT,3,2,3,2,2,3
긍정 축소화,"[남자/18세]  
---  
매일 혼자 공부하며 노력했지만 영어 실력이 늘지 않아요. 수업에 복귀할 생각인데, 내 노력은 무의미한 걸까요? 이렇게 열심히 했는데, 더 이상 희망이 보이지 않아요. 도대체 어떻게 해야 할까요?",GPT,2,2,3,2,2,2
과잉 일반화,"[남자/14]  
---  
친구들과의 대화가 힘들어. 집이나 반에서는 웃으며 말하지만, 내 앞에 친구들이면 심장이 뛰어. 평소처럼 유머를 써도 대답이 없고, 나를 싫어하는 것 같아 걱정이 커져.",GPT,2,3,2,3,2,2
감정적 추론,"[남자/18]  
---  
가족에게 배신당한 것 같아, 방에 틀어박혀 매일 괴로워. 힘이 세지면 복수할 수 있을까? 하지만 현실은 나약하고 불안한 나. 상담이 도움이 될까? 맨날 마음이 무겁다.",GPT,2,3,2,2,3,2
흑백 사고,"[여자/15]  
---  
집에서 공부하려는데, 옆집에서 음악을 틀어놓으니 정말 스트레스 받아요. 집중은 안 되고, 또 한번 대화해보려 했는데 무시당하고... 이런 상황이 반복되니 더 이상 어떻게 해야 할지 모르겠어요.",GPT,3,3,3,2,2,3
성급한 판단,"[여자/17세]  
---  
친구와의 약속을 깨버린 것 같아 마음이 불편해. 내가 잘못한 것 같은데, 이미 나한테 실망했겠지. 연락을 안 해도 당연한 것 같아. 내가 먼저 다가가야 할까? 애매하고 답답해.",GPT,2,2,2,2,2,3
성급한 판단,"[남자/15]  
---  
체육관에서 친구들이 여친 이야기로 시끌벅적하네요. 여친은 그냥 평범한데 왜 다들 좋아하는지 이해가 안 가요. 나도 그 애랑 가까워지고 싶은데, 친구와 사이가 나빠질까 걱정이네요. 어떻게 고백하지?",GPT,2,2,3,2,2,2
흑백 사고,"[여자/17]  
---  
학교에서 남친은 친구들만 챙깁니다. 나만큼 소중한 사람은 없는 것 같아요. 아무리 그렇게 말해도 고개를 숙이고 자기들끼리 놀아요. 나만 외로운 걸까요? 친구도 포기하고 있는데, 왜 날 확인하지 않을까요?",GPT,2,3,2,2,3,2
감정적 추론,"[여자/17]  
---  
나는 미장원에서 긴 머리를 자르는 것에 대해 생각하며, 마치 성적이 떨어질까 두려워 매일 밤늦게까지 공부한다. 엄마는 머리를 자르라고 계속하는데, 이상하게 보일까 두려워 더욱 불안해진다.",GPT,3,3,3,2,2,2
성급한 판단,"[여자/16]  
---  
소개팅에서 그 남자랑 그의 친구들과 대화했는데, 내 친구의 이야기를 비꼬는 듯한 말들이 나왔어요. 결과적으로 그 친구와의 관계가 틀어졌고, 어떻게 하면 화해할 수 있을지 걱정뿐이에요.",GPT,2,3,2,2,2,2
성급한 판단,"[여자/16세]  
---  
점심시간, 친구들이 수군대는 걸 듣다 보니 불안한 감정이 일어났어. 내가 뭘 잘못했나? 사소한 일도 크게 느껴져서 너무 우울하고 외로운 기분이야. 그들에게 싫어하는 건 아닐까?",GPT,3,3,2,3,2,2
감정적 추론,"[남자/18]  
---  
무대에서 연기를 하며 느낀다. 진정으로 원하는 길이라고 생각하지만, 내가 이렇게 하는 이유는 알 수 없다. 나중에 회상할 때 후회하지 않을까 두렵다. 이 길이 정말 나에게 맞는지 고민된다.",GPT,2,3,2,2,2,2
개인화,"[남자/15세]  
---  
올해 중3, 누나 친구 좀 도와줬다고 큰소리로 혼났어요. 전 정말 아무 잘못 없는데, 누나가 의심만 하니 속상해요. 그냥 친한 친구 부탁인데 왜 항상 저를 의심할까?",GPT,3,3,2,2,3,2
감정적 추론,"[여자/17]  
---  
친구와의 대화가 어색해지면서, 내가 누군가에게 소중한 존재가 아닐까 생각해. 그럴 거라고 믿고 있는데, 점점 힘들어져. 내가 없는 게 나을까, 이런 고민을 또 하게 돼.",GPT,2,2,2,2,2,2
감정적 추론,"[여자/14]  
---  
강의실에서 친구들과 함께 있어도 가끔 너무 외로워. 웃음소리 속에서도 나만 소외된 기분이 드는걸. 표정은 웃고 있지만, 내 마음은 우울해. 사람 많은 곳은 정말 불편해. 왜 이런걸까?",GPT,3,3,3,3,3,3
감정적 추론,"[여자/15세]  
---  
그녀와의 사이가 다시 예전처럼 돌아갈 수 있을까? 매일 문자가 오고 스킨십도 많아서 뭔가 특별한 것 같았는데, 결국 친구로 남고 싶다니. 나에게 뭘 원하는 걸까? 이해할 수 없어.",GPT,3,3,3,2,3,3
부정적 편향,"[여자/15]  
---  
수업 후 거울을 보고 있으면, 이쁜 친구들이 떠오르며 자신감이 사라집니다. 내가 왜 이렇게 못생겼는지, 키도 크고 날씬한 그들 사이에서 소외감을 느끼는 게 너무 괴로워요.",GPT,3,3,2,2,3,2
확대와 축소,"[여자/15세]  
---  
체육 시간에 나의 실력이 드러났어요. 다른 친구들은 잘하는데, 나는 매번 실패했죠. 한 친구가 나를 비웃었고, 그 말이 계속 떠올라요. 이제는 더 이상 운동하고 싶지 않아요.",GPT,2,2,2,2,2,2
감정적 추론,"[남자/15]  
---  
시험 점수가 낮아 엄마가 선생님과의 면담을 요청하셨어요. 또 혼내실 거 생각하니 너무 죄송하고 쪽팔려요. 아빠는 무관심한 척하시고, 저만 괴로운 기분이 듭니다.",GPT,3,3,2,2,3,3
확대와 축소,"[여자/17세]  
---
학교에서 친구들이 키에 대해 이야기할 때마다 나는 더욱 위축된다. 나보다 작은 친구들도 많은데, 나는 왜 이렇게 작게만 느껴질까? 나의 고민은 끝이 보이지 않아서 더 힘들어.",GPT,2,3,3,2,2,3
감정적 추론,"[남자/17]  
---  
시험을 앞두고 불안해요. 친구들이 잘하는 것 같고, 저만 뒤쳐지는 기분이에요. 가끔 책을 덮고 싶고, 작은 자극에도 화가 나요. 계속해서 이렇게 변해가면 대체 어떻게 될까요?",GPT,3,3,2,2,2,3
확대와 축소,"[여자/16세]  
---  
내가 좋아하는 친구가 다른 학교 친구와만 연락해. 나와 연락이 끊겨서 너무 속상하고, 그 친구가 내 마음을 모르고 욕까지 하고. 항상 힘들고 슬퍼서 미치는 것 같아. 어떻게 해야 할까?",GPT,2,3,2,2,2,2
개인화,"[여자/14세]  
---  
어제 친구와 다툰 후, 내가 왜 이렇게 못났는지 생각했어. 진짜 누구에게도 도움을 주지 못하고, 항상 문제만 일으키는 것 같아. 더 이상 학교에 가고 싶지 않아, 나를 싫어할까 걱정이야.",GPT,2,3,2,2,2,2
성급한 판단,"[남자/14]  
---  
점심시간에 친구들이 떠들다가 나를 빼먹는 순간, 그냥 자신이 싫어하는 것 같아 불안해졌다. 내가 그렇게 소심한 성격이라서 별로 원하지 않나? 이젠 친구들이 나를 싫어하는 것 같아 슬프다.",GPT,3,3,2,2,2,2
감정적 추론,"[여자/16]  
---  
그 애는 나를 전혀 신경 쓰지 않는 것 같아. 조용히 관심을 끌어보려 해도 소용없어. 내일 개발활동시간 자리도 멀리 떨어져 있어서, 어떻게 하지? 아, 나 아닌가 봐.",GPT,3,3,2,2,3,2
성급한 판단,"[여자/14]  
---  
친구가 나를 피하는 것 같아. 대화할 때마다 어색한 침묵이 흐르고, 내가 별로인 건 아닐까 하고 계속 걱정해. 친구가 나를 싫어하지 않길 바라지만, 이런 상황이 반복될까 두려워.",GPT,2,3,3,2,2,3
감정적 추론,"[여자/16세]  
---  
학원 가기 싫어서 엄마에게 못 가겠다고 했더니, 화를 내면서 학원도 과외도 못 하게 한다고. 내가 잘할 수 있을지 불안하고, 이제는 친구들한테도 소외될까 두렵다.",GPT,3,3,2,2,2,3
흑백 사고,"[여자/17]  
---  
부모님의 잔소리 때문에 매일 힘들어. 친구들은 나를 외면하고, 수업은 그저 지루할 뿐이야. 세상은 나를 버린 것 같고, 나는 언제 없어질 수 있을까 고민해. 행복이 뭔지 모르겠어.",GPT,2,3,2,2,2,2
'해야 한다' 진술,"[여자/15세]  
---  
서로 떠드는 친구들 속에서 혼자 제 자리를 잡고 있다. 그들이 나를 어떻게 생각할지 두려워, 매일 아침마다 긴장이 된다. 그냥 편한 친구와 있는 게 더 좋을 것 같아 불안할 뿐이다.",GPT,2,2,2,2,2,3
감정적 추론,"[여자/17]  
---  
그 친구를 보았다. 순간, 마음이 떨려왔다. 그가 나를 좋아하지 않을까 싶어 눈물이 날 것 같아 두려웠다. 3년간 연애해본 적이 없으니, 고백은 너무 힘든 일이다.",GPT,3,3,3,2,3,2
과잉 일반화,"[여자/16]  
---  
급식실에서 두 친구와 앉아있는데, 대화가 이어지지 않아요. 한 달째 이러니 앞으로 3개월 동안도 계속 이렇게 지낼 건가 싶어요. 민폐를 끼치는 것 같아 너무 힘드네요. 어떻게 하면 좋을까요?",GPT,3,3,3,2,2,3
감정적 추론,"[여자/17]  
---  
하교 후 혼자 길거리를 걷는데, 사람들의 시선이 신경 쓰여요. 내가 이상한 행동을 하지 않으면 불안해지고, 그 생각에 사로잡히면 더 이상해질 것 같아 너무 두려워요. 정말 힘드네요.",GPT,2,3,3,2,2,3
확대와 축소,"[여자/14]  
---  
전교 333등, 정말 못하는 것 같아요. 얼굴도 안 예쁘고, 친구들도 없어서 외롭고.. 엄마가 늘 핀잔 주니까 더욱 힘들어요. 다시 시작하고 싶지만, 할 수 있을지 걱정이에요.",GPT,2,3,2,2,3,3
감정적 추론,"[남자/15]  
---  
교실에서 친구가 웃으며 농담했지만 그 이후로 계속 불안한 기분이 계속 되었다. 왜 그 말이 그렇게 신경 쓰이는지 이해할 수 없고, 왠지 나만 따돌림 당하는 느낌이 들어 힘들다.",GPT,3,3,2,3,3,3
'해야 한다' 진술,"[여자/16세]  
---  
숙제 중에 잠깐 오타가 나면 그 부분을 고치지 않고 완전히 지우고 다시 쓰길 반복해요. 그런 식으로 시간을 낭비하며 의욕이 바닥나고, 결국엔 과제가 마감에 맞추기 힘들어져요.",GPT,3,3,3,2,2,3
감정적 추론,"[여자/16]  
---  
어제 친구들 사이에서 찢어진 나의 마음을 감출 수 없었어요. 외톨이로 남겨진 기분, 아파서 말할 수도 없고. 엄마가 울면 내 fault라는 생각에, 점점 이길 수 없는 싸움이 돼요.",GPT,3,3,3,2,2,2
감정적 추론,"[여자/14]  
---  
요즘 매일 엄마와 다투고, 내 마음이 이렇게 뒤숭숭한 게 싫어요. 친구들에게도 이럴 수 없고, 그냥 고립될까 두려워요. 가끔 너무 힘들어서 도망치고 싶다는 생각이 자꾸 드네요.",GPT,3,3,3,2,3,3
확대와 축소,"[여자/15세]  
---  
친구와의 대화 중 내가 말한 사소한 농담이 깊이 상처를 줬을까 걱정이 들어. 그들이 나를 싫어하게 될 거라는 생각이 커져. 결과적으로 혼자 남겨질 거란 불안감이 내 마음을 지배해.",GPT,2,2,3,2,3,3
감정적 추론,"[여자/15]  
---  
엄마랑 크게 싸운 후 집을 나왔어요. 이제 돈도 없고 연락할 친구도 없어서 무섭고 외로워요. 다시 돌아가긴 두려운데, 계속 이렇게 있을 수도 없고. 제발 누가 도와줬으면 좋겠어요.",GPT,3,3,3,2,3,3
과잉 일반화,"[여자/16]  
---  
부모님은 항상 저를 무시하며, 못생겼다고 비웃어요. 친구들은 제 가치를 모르는 것 같고, 학교에서는 항상 괴롭힘당해요. 이렇게 살고 싶지 않은데, 점점 더 외롭고 힘들어요. 누가 저를 이해해줄까요?",GPT,2,2,2,2,2,3
부정적 편향,"[여자/16]  
---  
시험 결과가 끔찍해서 숨이 막혀요. 내가 뭘 잘못했는지 매일 밤 떠올리며 우울해져요. 친구들도 나를 멀리하는 것 같고, 정말 힘들어요. 왜 이런 일이 자꾸 반복될까요?",GPT,2,3,3,2,3,3
감정적 추론,"[남자/15]  
---  
친구들이 날 따돌리는 것 같아 힘들어. 아무도 내 기분을 이해하지 못하는 듯해. 수업 중에도 불안해서 집중이 안 돼, 그냥 내가 싫어서 그런 거라고 믿고 싶어.",GPT,2,2,2,2,2,3
과잉 일반화,"[여자/14세]  
---  
수업 끝나고 친구에게 손을 흔들었지만, 그냥 지나쳤어요. 이제는 항상 나를 무시하는 것 같아 슬퍼요. 졸업여행도 친구들 사이에서 어떻게 해야 할지 모르겠어요. 혼자 붙어 다닐까 걱정이에요.",GPT,2,3,3,2,3,3
성급한 판단,"[여자/15세]  
---  
복도에서 친구를 놀렸던 일이 떠올라 불안해요. 짝꿍이 그 모습을 봤고, 지금 다른 반 아이들이 저를 쳐다보는 것 같아요. 혹시 그 짝꿍이 무슨 말을 했을까 걱정이네요.",GPT,2,3,2,3,2,3
과잉 일반화,"[여자/16]  
---  
가끔은 모든 것이 힘들게만 느껴져요. 친구들은 저를 이해하지 못하는 것 같고, 학원과 학교에서의 압박이 저를 괴롭혀요. 이럴 바엔 차라리 없는 것이 낫겠다는 생각이 자꾸 드네요.",GPT,2,3,3,3,2,3
성급한 판단,"[여자/17]  
---  
어제 운동장에서 친구들이 웃으며 이야기하는 걸 멀리서 보았어요. 속으로 내가 끼면 어색해할 거라는 생각에 그냥 지나쳤습니다. 결국 전부 잘 지내는 듯 보이고, 저는 다시 혼자가 되었네요.",GPT,2,2,3,2,3,3
과잉 일반화,"[여자/14]  
---  
교실에선 내가 무슨 말을 해도 친구들이 다른 얘기로 피하는 것 같아. 그 한 친구와의 갈등 때문에 너무 힘들어. 집에서도 누군가 내 고민에 귀 기울여주지 않아서 더 외로워.",GPT,3,3,2,3,3,3
감정적 추론,"[여자/14]  
---  
학원에서 친구들에게 물어봤지만, 나만 답장을 못 받은 것 같아 속이 타. 사촌오빠를 좋아하는 나도 한심하고, 부모님 걱정 속에서 난 어떻게 해야 할지 모르겠어. 이대로는 정말 힘들어.",GPT,3,3,2,2,3,3
감정적 추론,"[여자/16]  
---  
체험학습 중 브릿지를 건널 때, 망설임이 들었어요. 안전장치가 있었지만, 하늘에 떨어질 상상을 하니 불안해졌죠. 시험 준비도 마찬가지. 나는 아무도 모르겠지만, 점수 망치면 어떻게 될지 걱정이에요.",GPT,3,3,3,2,3,3
흑백 사고,"[남/17]  
---  
시험 준비를 철저히 했지만, 결과가 4등급을 넘지 못해 실망이 큽니다. 친구들은 나에게 공부를 잘한다고 하는데, 나는 끝없이 부족하다고 생각해요. 정말 내 적성에 맞지 않는 것 같아 고민이 깊어집니다.",GPT,2,3,3,2,2,3
흑백 사고,"[여자/16세]  
---  
수업 중 친구와의 대화가 끊어졌다. 상처받은 마음을 숨기기 어렵고, 나의 존재 빈곤함이 더해간다. 아무리 노력해도 다 괜찮을 거란 희망이 사라지고, 그저 힘들기만 하다.",GPT,2,3,2,2,2,2
감정적 추론,"[여자/15세]  
---  
친구와 다툴 때, 항상 내가 먼저 화해하곤 했어요. 그런데 이번엔 그녀가 오해를 했나 봐요. 전 연락하고 싶지만, 또 내가 먼저 하는 게 자존심 상할까 두렵고, 그 사이 서로 멀어지는 것 같아 우울해요.",GPT,3,3,2,3,3,3
흑백 사고,"[남자/17]  
---  
친구들이 모두 모여 떠들고 웃는데, 내겐 따돌림당하는 기분밖에 안 든다. 세상에 나 혼자 남겨진 것 같아. 이렇게 살다간 항상 외롭고 불행할 것만 같아 두렵다.",GPT,2,2,2,2,2,3
개인화,"[남자/15]  
---  
점심시간에 친구들이 나에게 애들 물건을 빌려달라고 해. 그때마다 '왜 나한테만?' 생각이 드는데, 다른 애들은 아무렇지도 않게 빌려주는데 나는 항상 스트레스를 받아. 짜증이 나고 하루가 힘들어.",GPT,3,3,3,2,3,2
'해야 한다' 진술,"[여자/16세]  
---  
방과 후 도서관에서 혼자 앉아있다. 친구들과 함께하지 않으면 내 존재가 무시당하는 것 같아 두렵다. 가족은 나를 이해하지 못하고, 꿈을 가지면 안 된다는 압박감에 심장이 조여온다.",GPT,2,3,2,2,2,3
성급한 판단,"[남자/16세]  
---  
친구들끼리 카페에 갔는데, 나는 초대받지 못했어. 괜히 날 싫어해서 그런 걸까? 내일도 수업에 집중 못할 것 같고, 이런 생각 때문에 시험 준비가 안 돼서 걱정이야.",GPT,2,2,2,2,2,3
과잉 일반화,"[남자/15세]  
---  
지난 주에 누나가 학교에서 나를 괴롭혔어. 나쁜 오빠라며 친구들 앞에서 놀리고, 집에서도 아무것도 못 하게 해. 왜 내가 이렇게 항상 힘들어야 해? 나한텐 친구가 없나 봐.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15]  
---  
매일 학교에 가면, 친구들은 잘하는 게 많은데 나는 별로 돋보이지 않아. 수업시간에 대답하면 틀리기만 하고, 나 자신에 대한 기대가 점점 사라지는 것 같아. 무너지기 전에 뭔가 해야 할 텐데.",GPT,2,2,3,2,2,3
낙인찍기,"[여자/16세]  
---  
시험 성적이 형편없어서 부모님이 실망한 눈치예요. 친구들은 잘하는데, 나는 정말 아무것도 못하는 것 같아요. 그래서 점점 주변과 멀어지고, 나에 대한 자신감도 없어지는 것 같아요.",GPT,2,3,2,2,3,3
